ADRA1D
AVPR1A
AVPR1B
CCK
CHRM1
F2
FFAR2
GABBR1
GHRL
GRM1
GRM5
HCRT
HRH1
HTR1A
HTR2A
MLN
NMB
NTS
OXT
P2RY1
P2RY2
PDE4B
PROK2
PROKR2
TAC1
TRH
